DateSize1,Direction1,DateSize2,Direction2,DateSize3,Direction3,DateSize4,Direction4
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
205,S-C,190,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,191,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
205,S-C,190,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
205,S-C,190,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
205,S-C,190,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
206,S-C,191,C-S,196,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
206,S-C,190,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
206,S-C,190,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
205,S-C,189,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
206,S-C,190,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
206,S-C,190,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
206,S-C,190,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
207,S-C,191,C-S,197,C-S,119,S-C
205,S-C,189,C-S,197,C-S,119,S-C
