DateSize1,Direction1,DateSize2,Direction2
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
205,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
205,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
205,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,178,C-S
206,S-C,178,C-S
206,S-C,178,C-S
205,S-C,177,C-S
206,S-C,178,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,179,C-S
206,S-C,178,C-S
205,S-C,178,C-S
206,S-C,178,C-S
206,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
206,S-C,177,C-S
206,S-C,178,C-S
207,S-C,179,C-S
207,S-C,178,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,178,C-S
207,S-C,178,C-S
207,S-C,178,C-S
207,S-C,179,C-S
206,S-C,178,C-S
207,S-C,179,C-S
207,S-C,178,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,178,C-S
207,S-C,178,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
206,S-C,178,C-S
207,S-C,178,C-S
207,S-C,178,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,178,C-S
207,S-C,178,C-S
206,S-C,178,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,179,C-S
207,S-C,178,C-S
207,S-C,179,C-S
