DateSize1,Direction1,DateSize2,Direction2,DateSize3,Direction3,DateSize4,Direction4
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
198,C-S,120,S-C,197,C-S,120,S-C
