Time,Size1,Size2
1723444545.977702,207.0,202.0
1723445469.942287,207.0,202.0
1723443290.441952,208.0,203.0
1723443588.936273,208.0,203.0
1723443826.353995,208.0,203.0
1723443949.798187,208.0,203.0
1723444424.923444,208.0,203.0
1723444904.392174,208.0,203.0
1723445280.49927,208.0,203.0
1723445348.042951,208.0,203.0
1723445588.123394,208.0,203.0
1723445929.670956,208.0,203.0
1723446167.682557,208.0,203.0
1723446525.122724,208.0,203.0
1723447000.00359,208.0,203.0
1723447093.637747,208.0,203.0
1723447485.613074,208.0,203.0
1723448021.923363,208.0,203.0
1723448110.0602,208.0,203.0
1723448263.133224,208.0,203.0
1723448499.353652,208.0,203.0
1723448744.053786,208.0,203.0
1723448828.612955,208.0,203.0
1723442804.091475,207.0,203.0
1723442935.101439,207.0,203.0
1723443350.412393,207.0,203.0
1723443881.764903,207.0,203.0
1723444847.35674,207.0,203.0
1723445199.963871,207.0,203.0
1723445441.342768,207.0,203.0
1723445744.917052,207.0,203.0
1723446344.432426,207.0,203.0
1723446463.062428,207.0,203.0
1723446580.492563,207.0,203.0
1723446708.152269,207.0,203.0
1723446948.972683,207.0,203.0
1723447061.392826,207.0,203.0
1723447185.709772,207.0,203.0
1723447667.492623,207.0,203.0
1723448320.09464,207.0,203.0
1723448438.840789,207.0,203.0
1723448679.443545,207.0,203.0
1723444001.022494,206.0,202.0
1723444725.039436,206.0,202.0
1723445686.322035,206.0,202.0
1723445864.132941,206.0,202.0
