Time,Size1,Size2,Size3,Size4
1723444686.7248,206.0,190.0,194.0,116.0
1723442802.738317,206.0,191.0,193.0,116.0
1723442986.105029,206.0,191.0,193.0,116.0
1723443168.815028,206.0,191.0,193.0,116.0
1723443291.224794,206.0,191.0,193.0,116.0
1723443464.585441,206.0,191.0,193.0,116.0
1723443642.946167,206.0,191.0,193.0,116.0
1723443775.847979,206.0,191.0,193.0,116.0
1723443882.750391,206.0,191.0,193.0,116.0
1723444008.098169,206.0,191.0,193.0,116.0
1723444180.044385,206.0,191.0,193.0,116.0
1723444299.526471,206.0,191.0,193.0,116.0
1723444366.594041,206.0,191.0,193.0,116.0
1723444486.77209,206.0,191.0,193.0,116.0
1723444667.394359,206.0,191.0,193.0,116.0
1723444781.335141,206.0,191.0,193.0,116.0
1723444901.767049,206.0,191.0,193.0,116.0
1723445201.731279,206.0,191.0,193.0,116.0
1723443290.441952,208.0,203.0,208.0,119.0
1723443826.353995,208.0,203.0,208.0,119.0
1723443949.798187,208.0,203.0,208.0,119.0
1723444424.923444,208.0,203.0,208.0,119.0
1723444904.392174,208.0,203.0,208.0,119.0
1723445280.49927,208.0,203.0,208.0,119.0
1723445348.042951,208.0,203.0,208.0,119.0
1723445588.123394,208.0,203.0,208.0,119.0
1723446167.682557,208.0,203.0,208.0,119.0
1723446525.122724,208.0,203.0,208.0,119.0
1723448021.923363,208.0,203.0,208.0,119.0
1723448110.0602,208.0,203.0,208.0,119.0
1723448263.133224,208.0,203.0,208.0,119.0
1723448499.353652,208.0,203.0,208.0,119.0
1723448744.053786,208.0,203.0,208.0,119.0
1723442865.112821,207.0,191.0,194.0,116.0
1723443044.28241,207.0,191.0,194.0,116.0
1723443227.424653,207.0,191.0,194.0,116.0
1723443350.412393,207.0,191.0,194.0,116.0
1723443591.455372,207.0,191.0,194.0,116.0
1723443708.760484,207.0,191.0,194.0,116.0
1723443828.057011,207.0,191.0,194.0,116.0
1723443950.751313,207.0,191.0,194.0,116.0
1723444070.480776,207.0,191.0,194.0,116.0
1723444237.048878,207.0,191.0,194.0,116.0
1723444323.422741,207.0,191.0,194.0,116.0
1723444427.345281,207.0,191.0,194.0,116.0
1723444547.618276,207.0,191.0,194.0,116.0
1723444800.871339,207.0,191.0,194.0,116.0
1723444963.340812,207.0,191.0,194.0,116.0
1723445113.261506,207.0,191.0,194.0,116.0
1723445268.499936,207.0,191.0,194.0,116.0
1723444545.977702,207.0,202.0,208.0,119.0
1723445469.942287,207.0,202.0,208.0,119.0
