Timestamp,Event
2025-06-21 20:23:50+08:00,on
2025-06-21 20:23:56+08:00,off
2025-06-21 20:24:01+08:00,on
2025-06-21 20:24:06+08:00,off
2025-06-21 20:24:11+08:00,on
2025-06-21 20:24:16+08:00,off
2025-06-21 20:24:21+08:00,on
2025-06-21 20:24:27+08:00,off
2025-06-21 20:24:32+08:00,on
2025-06-21 20:24:37+08:00,off
2025-06-21 20:24:42+08:00,on
2025-06-21 20:24:47+08:00,off
2025-06-21 20:24:52+08:00,on
2025-06-21 20:24:57+08:00,off
2025-06-21 20:25:03+08:00,on
2025-06-21 20:25:08+08:00,off
2025-06-21 20:25:13+08:00,on
2025-06-21 20:25:18+08:00,off
2025-06-21 20:25:23+08:00,on
2025-06-21 20:25:28+08:00,off
2025-06-21 20:25:34+08:00,on
2025-06-21 20:25:39+08:00,off
2025-06-21 20:25:44+08:00,on
2025-06-21 20:25:49+08:00,off
2025-06-21 20:25:54+08:00,on
2025-06-21 20:26:00+08:00,off
2025-06-21 20:26:05+08:00,on
2025-06-21 20:26:10+08:00,off
2025-06-21 20:26:15+08:00,on
2025-06-21 20:26:20+08:00,off
2025-06-21 20:26:25+08:00,on
2025-06-21 20:26:31+08:00,off
2025-06-21 20:26:36+08:00,on
2025-06-21 20:26:41+08:00,off
2025-06-21 20:26:46+08:00,on
2025-06-21 20:26:51+08:00,off
2025-06-21 20:26:56+08:00,on
2025-06-21 20:27:01+08:00,off
2025-06-21 20:27:07+08:00,on
2025-06-21 20:27:12+08:00,off
2025-06-21 20:27:17+08:00,on
2025-06-21 20:27:22+08:00,off
2025-06-21 20:27:27+08:00,on
2025-06-21 20:27:32+08:00,off
2025-06-21 20:27:38+08:00,on
2025-06-21 20:27:43+08:00,off
2025-06-21 20:27:48+08:00,on
2025-06-21 20:27:53+08:00,off
2025-06-21 20:27:58+08:00,on
2025-06-21 20:28:03+08:00,off
2025-06-21 20:28:09+08:00,on
2025-06-21 20:28:14+08:00,off
2025-06-21 20:28:19+08:00,on
2025-06-21 20:28:24+08:00,off
2025-06-21 20:28:29+08:00,on
2025-06-21 20:28:34+08:00,off
2025-06-21 20:28:40+08:00,on
2025-06-21 20:28:45+08:00,off
2025-06-21 20:28:50+08:00,on
2025-06-21 20:28:55+08:00,off
2025-06-21 20:29:00+08:00,on
2025-06-21 20:29:05+08:00,off
2025-06-21 20:29:11+08:00,on
2025-06-21 20:29:16+08:00,off
2025-06-21 20:29:21+08:00,on
2025-06-21 20:29:26+08:00,off
2025-06-21 20:29:31+08:00,on
2025-06-21 20:29:36+08:00,off
2025-06-21 20:29:41+08:00,on
2025-06-21 20:29:47+08:00,off
2025-06-21 20:29:52+08:00,on
2025-06-21 20:29:57+08:00,off
2025-06-21 20:30:02+08:00,on
2025-06-21 20:30:07+08:00,off
2025-06-21 20:30:12+08:00,on
2025-06-21 20:30:18+08:00,off
2025-06-21 20:30:23+08:00,on
2025-06-21 20:30:28+08:00,off
2025-06-21 20:30:33+08:00,on
2025-06-21 20:30:38+08:00,off
2025-06-21 20:30:43+08:00,on
2025-06-21 20:30:49+08:00,off
2025-06-21 20:30:54+08:00,on
2025-06-21 20:30:59+08:00,off
2025-06-21 20:31:04+08:00,on
2025-06-21 20:31:09+08:00,off
2025-06-21 20:31:14+08:00,on
2025-06-21 20:31:20+08:00,off
2025-06-21 20:31:25+08:00,on
2025-06-21 20:31:30+08:00,off
2025-06-21 20:31:35+08:00,on
2025-06-21 20:31:40+08:00,off
2025-06-21 20:31:45+08:00,on
2025-06-21 20:31:50+08:00,off
2025-06-21 20:31:56+08:00,on
2025-06-21 20:32:01+08:00,off
2025-06-21 20:32:06+08:00,on
2025-06-21 20:32:11+08:00,off
2025-06-21 20:32:16+08:00,on
2025-06-21 20:32:21+08:00,off
