Timestamp,Event
2025-07-23 20:03:50+08:00,on
2025-07-23 20:03:56+08:00,off
2025-07-23 20:04:01+08:00,on
2025-07-23 20:04:06+08:00,off
2025-07-23 20:04:11+08:00,on
2025-07-23 20:04:16+08:00,off
2025-07-23 20:04:21+08:00,on
2025-07-23 20:04:27+08:00,off
2025-07-23 20:04:32+08:00,on
2025-07-23 20:04:37+08:00,off
2025-07-23 20:04:42+08:00,on
2025-07-23 20:04:47+08:00,off
2025-07-23 20:04:52+08:00,on
2025-07-23 20:04:57+08:00,off
2025-07-23 20:05:03+08:00,on
2025-07-23 20:05:08+08:00,off
2025-07-23 20:05:13+08:00,on
2025-07-23 20:05:18+08:00,off
2025-07-23 20:05:23+08:00,on
2025-07-23 20:05:28+08:00,off
2025-07-23 20:05:34+08:00,on
2025-07-23 20:05:39+08:00,off
2025-07-23 20:05:44+08:00,on
2025-07-23 20:05:49+08:00,off
2025-07-23 20:05:54+08:00,on
2025-07-23 20:06:00+08:00,off
2025-07-23 20:06:05+08:00,on
2025-07-23 20:06:10+08:00,off
2025-07-23 20:06:15+08:00,on
2025-07-23 20:06:20+08:00,off
2025-07-23 20:06:25+08:00,on
2025-07-23 20:06:31+08:00,off
2025-07-23 20:06:36+08:00,on
2025-07-23 20:06:41+08:00,off
2025-07-23 20:06:46+08:00,on
2025-07-23 20:06:51+08:00,off
2025-07-23 20:06:56+08:00,on
2025-07-23 20:07:01+08:00,off
2025-07-23 20:07:07+08:00,on
2025-07-23 20:07:12+08:00,off
2025-07-23 20:07:17+08:00,on
2025-07-23 20:07:22+08:00,off
2025-07-23 20:07:27+08:00,on
2025-07-23 20:07:32+08:00,off
2025-07-23 20:07:38+08:00,on
2025-07-23 20:07:43+08:00,off
2025-07-23 20:07:48+08:00,on
2025-07-23 20:07:53+08:00,off
2025-07-23 20:07:58+08:00,on
2025-07-23 20:08:03+08:00,off
2025-07-23 20:08:09+08:00,on
2025-07-23 20:08:14+08:00,off
2025-07-23 20:08:19+08:00,on
2025-07-23 20:08:24+08:00,off
2025-07-23 20:08:29+08:00,on
2025-07-23 20:08:34+08:00,off
2025-07-23 20:08:40+08:00,on
2025-07-23 20:08:45+08:00,off
2025-07-23 20:08:50+08:00,on
2025-07-23 20:08:55+08:00,off
2025-07-23 20:09:00+08:00,on
2025-07-23 20:09:05+08:00,off
2025-07-23 20:09:11+08:00,on
2025-07-23 20:09:16+08:00,off
2025-07-23 20:09:21+08:00,on
2025-07-23 20:09:26+08:00,off
2025-07-23 20:09:31+08:00,on
2025-07-23 20:09:36+08:00,off
2025-07-23 20:09:41+08:00,on
2025-07-23 20:09:47+08:00,off
2025-07-23 20:09:52+08:00,on
2025-07-23 20:09:57+08:00,off
2025-07-23 20:10:02+08:00,on
2025-07-23 20:10:07+08:00,off
2025-07-23 20:10:12+08:00,on
2025-07-23 20:10:18+08:00,off
2025-07-23 20:10:23+08:00,on
2025-07-23 20:10:28+08:00,off
2025-07-23 20:10:33+08:00,on
2025-07-23 20:10:38+08:00,off
2025-07-23 20:10:43+08:00,on
2025-07-23 20:10:49+08:00,off
2025-07-23 20:10:54+08:00,on
2025-07-23 20:10:59+08:00,off
2025-07-23 20:11:04+08:00,on
2025-07-23 20:11:09+08:00,off
2025-07-23 20:11:14+08:00,on
2025-07-23 20:11:20+08:00,off
2025-07-23 20:11:25+08:00,on
2025-07-23 20:11:30+08:00,off
2025-07-23 20:11:35+08:00,on
2025-07-23 20:11:40+08:00,off
2025-07-23 20:11:45+08:00,on
2025-07-23 20:11:50+08:00,off
2025-07-23 20:11:56+08:00,on
2025-07-23 20:12:01+08:00,off
2025-07-23 20:12:06+08:00,on
2025-07-23 20:12:11+08:00,off
2025-07-23 20:12:16+08:00,on
2025-07-23 20:12:21+08:00,off
