DateSize1,Direction1,DateSize2,Direction2,DateSize3,Direction3,DateSize4,Direction4
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
207,C-S,202,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
207,C-S,202,S-C,209,C-S,120,S-C
207,C-S,202,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,209,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,202,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
208,C-S,203,S-C,209,C-S,120,S-C
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
316,119,,,,,,
