DateSize1,Direction1,DateSize2,Direction2,DateSize3,Direction3,DateSize4,Direction4
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
206,S-C,202,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
207,S-C,203,C-S,208,C-S,120,S-C
