DateSize1,Direction1,DateSize2,Direction2,DateSize3,Direction3,DateSize4,Direction4
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
223,C-S,143,S-C,223,C-S,143,S-C
